sub_cluster_id,sub_cluster_label,function,physical_element,module,evidence,confidence
10.0,Fluid-based dental cleaning appliance (oral irrigator),store working fluid,fluid reservoir,fluid reservoir module,a fluid reservoir for storing a working fluid,high
10.0,Fluid-based dental cleaning appliance (oral irrigator),receive working fluid from reservoir,fluid delivery system,fluid delivery module,a fluid delivery system for receiving working fluid from the fluid reservoir,high
10.0,Fluid-based dental cleaning appliance (oral irrigator),deliver working fluid to teeth,fluid delivery system,fluid delivery module,for delivering the working fluid to the teeth of a user,high
10.0,Fluid-based dental cleaning appliance (oral irrigator),deliver working fluid to oral cavity,nozzle,fluid delivery module,delivering working fluid from a nozzle to the oral cavity of a user,high
10.0,Fluid-based dental cleaning appliance (oral irrigator),actuate fluid delivery,control circuit,control module,a control circuit for actuating the delivery of working fluid,high
10.0,Fluid-based dental cleaning appliance (oral irrigator),move relative to handle along teeth,fluid delivery system,fluid delivery module,Part of the fluid delivery system is moveable relative to the handle as the appliance is moved along the teeth,medium
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,support a cleaning element,support member,cleaning element support module,a support member adapted to support a cleaning element,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,draw air through a suction nozzle,suction nozzle,suction nozzle module,at least one suction nozzle in communication with a conduit,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,engage a floor surface,surface engaging skirt,suction nozzle module,a surface engaging skirt that depends downwardly,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,define a suction chamber,surface engaging skirt,suction nozzle module,skirt that depends downwardly to define an outer periphery of a suction chamber,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,convey air to the vacuum cleaning appliance,conduit,conduit and wand connection module,suction nozzle in communication with a conduit that is attachable to a vacuum cleaning appliance,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,attach the floor tool to the appliance,plug elements,conduit and wand connection module,the conduit includes one or more plug elements that are engageable,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,clean along an edge,edge of the supporting member,floor tool head module,a suction nozzle adjacent an edge of the supporting member,medium
11.0,Air-knife hand dryers,generate airflow,motor-driven fan unit,airflow generation module,The airflow is generated by a motor-driven fan unit.,high
11.0,Air-knife hand dryers,generate airflow,fan,airflow generation module,a fan located in the casing and creating an airflow.,high
11.0,Air-knife hand dryers,drive the fan,motor,airflow generation module,a motor arranged to drive the fan.,high
11.0,Air-knife hand dryers,discharge airflow,air outlet,air discharge / air-knife module,airflow discharged through an air outlet on the hand dryer.,high
11.0,Air-knife hand dryers,discharge airflow,slot-like opening,air discharge / air-knife module,at least one slot-like opening communicating with the fan and arranged in the casing so as to d[ischarge].,high
11.0,Air-knife hand dryers,wipe water from user's hands,air-knife,air discharge / air-knife module,uses an air-knife mechanically to wipe the water from the user's hands.,high
11.0,Air-knife hand dryers,receive an object (hands),cavity,casing and hand-receiving cavity module,a cavity formed in the casing for receiving an object.,high
11.0,Air-knife hand dryers,isolate vibration of the fan unit,springs,vibration isolation mounting module,motor-driven fan unit which is spring-mounted on a fixed part of the hand dryer.,medium
11.0,Air-knife hand dryers,draw in air,air intakes,air intake module,The hand dryer comprises a plurality of air inta[kes].,medium
11.1,Humidifying air treatment apparatus with integrated water supply,generate an air flow,air flow generator,airflow generation module,an air flow generator arranged to generate an air flow,high
11.1,Humidifying air treatment apparatus with integrated water supply,introduce water vapour into the air flow,moisture source,humidification / moisture introduction module,a moisture source arranged to introduce water vapour into the air flow,high
11.1,Humidifying air treatment apparatus with integrated water supply,surround the air flow generator and the moisture source,body,body / housing module,a body that in use surrounds both air flow generator and the moisture source,high
11.1,Humidifying air treatment apparatus with integrated water supply,supply water to the moisture source,water supply system,water supply and tank module,The water supply system comprises a... (water tank context),medium
11.1,Humidifying air treatment apparatus with integrated water supply,supply water to the moisture source,water tank,water supply and tank module,tfidf terms 'water tank' co-occurring with water supply system,medium
11.2,Head-Wearable Air Purifier with Integrated Audio,generate airflow,impeller,airflow generation module,an impeller for creating an airflow through the filter assembly,high
11.2,Head-Wearable Air Purifier with Integrated Audio,generate airflow,motor-driven impeller,airflow generation module,a motor-driven impeller for creating an airflow,high
11.2,Head-Wearable Air Purifier with Integrated Audio,generate airflow,airflow generator,airflow generation module,an airflow generator for creating an airflow through the filter,high
11.2,Head-Wearable Air Purifier with Integrated Audio,filter air,filter assembly,filter assembly module,airflow through the filter assembly,high
11.2,Head-Wearable Air Purifier with Integrated Audio,filter air,filter,filter assembly module,airflow through the filter,high
11.2,Head-Wearable Air Purifier with Integrated Audio,deliver filtered airflow to user,nozzle assembly,air delivery nozzle module,The nozzle assembly includes a conduit ... filtered airflow,high
11.2,Head-Wearable Air Purifier with Integrated Audio,deliver filtered airflow to user,conduit,air delivery nozzle module,The nozzle assembly includes a conduit,medium
11.2,Head-Wearable Air Purifier with Integrated Audio,be worn on the head,headgear,head-worn carrier module,A wearable air purifier includes a headgear,high
11.2,Head-Wearable Air Purifier with Integrated Audio,be worn on the head,first speaker assembly,head-worn carrier module,first speaker assembly arranged to be worn over a first ear of a user,high
11.2,Head-Wearable Air Purifier with Integrated Audio,provide audio output,first speaker assembly,speaker (audio) module,first speaker assembly and a second speaker assembly,medium
