sub_cluster_id,sub_cluster_label,function,evidence,confidence
10.0,Fluid-based dental cleaning appliance (oral irrigator),store working fluid,a fluid reservoir for storing a working fluid,high
10.0,Fluid-based dental cleaning appliance (oral irrigator),receive working fluid from reservoir,a fluid delivery system for receiving working fluid from the fluid reservoir,high
10.0,Fluid-based dental cleaning appliance (oral irrigator),deliver working fluid to teeth,for delivering the working fluid to the teeth of a user,high
10.0,Fluid-based dental cleaning appliance (oral irrigator),deliver burst of working fluid,delivering a burst of working fluid to the teeth of a user,high
10.0,Fluid-based dental cleaning appliance (oral irrigator),actuate fluid delivery,a control circuit for actuating the delivery of working fluid,high
10.0,Fluid-based dental cleaning appliance (oral irrigator),move relative to handle along teeth,Part of the fluid delivery system is moveable relative to the handle as the appliance is moved along the teeth,medium
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,support a cleaning element,a support member adapted to support a cleaning element,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,draw air through a suction nozzle,at least one suction nozzle in communication with a conduit,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,engage a floor surface,a surface engaging skirt that depends downwardly,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,define a suction chamber,skirt that depends downwardly to define an outer periphery of a suction chamber,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,convey air to the vacuum cleaning appliance,suction nozzle in communication with a conduit that is attachable to a vacuum cleaning appliance,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,attach the floor tool to the appliance,conduit includes one or more plug elements that are engageable,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,clean along an edge,a suction nozzle adjacent an edge of the supporting member,medium
11.0,Air-knife hand dryers,dry user's hands,A hand dryer for drying a user's hands by means of airflow discharged through an air outlet.,high
11.0,Air-knife hand dryers,generate airflow,The airflow is generated by a motor-driven fan unit; a fan located in the casing and creating an airflow.,high
11.0,Air-knife hand dryers,drive the fan,a motor arranged to drive the fan.,high
11.0,Air-knife hand dryers,discharge airflow,airflow discharged through an air outlet on the hand dryer.,high
11.0,Air-knife hand dryers,wipe water from user's hands,uses an air-knife mechanically to wipe the water from the user's hands.,high
11.0,Air-knife hand dryers,receive an object (hands),a cavity formed in the casing for receiving an object.,high
11.0,Air-knife hand dryers,draw in air,The hand dryer comprises a plurality of air inta[kes].,medium
11.0,Air-knife hand dryers,isolate vibration of the fan unit,motor-driven fan unit which is spring-mounted on a fixed part of the hand dryer.,medium
11.1,Humidifying air treatment apparatus with integrated water supply,generate an air flow,an air flow generator arranged to generate an air flow,high
11.1,Humidifying air treatment apparatus with integrated water supply,introduce water vapour into the air flow,a moisture source arranged to introduce water vapour into the air flow,high
11.1,Humidifying air treatment apparatus with integrated water supply,surround the air flow generator and the moisture source,a body that in use surrounds both air flow generator and the moisture source,high
11.1,Humidifying air treatment apparatus with integrated water supply,supply water to the moisture source,a water supply system,medium
11.1,Humidifying air treatment apparatus with integrated water supply,treat air,air treatment apparatus,medium
11.1,Humidifying air treatment apparatus with integrated water supply,humidify air,humidifying (tfidf term); introduce water vapour into the air flow,medium
11.2,Head-Wearable Air Purifier with Integrated Audio,generate airflow,an impeller for creating an airflow through the filter assembly; an airflow generator for creating an airflow,high
11.2,Head-Wearable Air Purifier with Integrated Audio,filter air,filter assembly ... airflow through the filter,high
11.2,Head-Wearable Air Purifier with Integrated Audio,deliver filtered airflow to user,The nozzle assembly includes a conduit ... filtered airflow,high
11.2,Head-Wearable Air Purifier with Integrated Audio,be worn on the head,head wearable air purifier ... arranged to be worn over a first ear of a user,high
11.2,Head-Wearable Air Purifier with Integrated Audio,provide audio output,first speaker assembly and a second speaker assembly,medium
