patent_id,title,top_keywords,top_keyword_scores,title_top_keywords
2026-0137189,ATTACHMENT FOR A HAIRCARE APPLIANCE,insert; treatment chamber; hair treatment chamber; hair treatment; treatment; hair; attached main body; attached main; haircare appliance attachment; main body,0.2503; 0.2494; 0.2494; 0.2451; 0.1796; 0.1560; 0.1542; 0.1500; 0.1448; 0.1430,attachment haircare; attachment; haircare; haircare appliance; appliance
2026-0137247,AGITATOR ELEMENT FOR A VACUUM CLEANER,agitator element; end agitator element; end agitator; agitator; element; tapers end; retain debris; vacuum cleaner described; cleaner described; end,0.4466; 0.3314; 0.3182; 0.2996; 0.2953; 0.1719; 0.1663; 0.1618; 0.1618; 0.1570,element vacuum; agitator element; agitator; element; vacuum cleaner; vacuum; cleaner
2026-0123728,HAIRCARE APPLIANCE WITH A VISUAL INDICATOR DEVICE,indicator; haircare; haircare appliance; visual; bore; visually; located within bore; expel; indicate; within bore,0.3746; 0.3196; 0.3196; 0.3062; 0.2437; 0.2212; 0.2212; 0.2140; 0.2081; 0.1951,indicator; haircare; haircare appliance; appliance
2026-0108123,IMPROVEMENTS RELATING TO FLOOR CLEANERS,roller; mop; cleaning; arrangement; improvements; improvements relating; helical path; cleaners; arrangement further; floor,0.4665; 0.4597; 0.2021; 0.1969; 0.1762; 0.1762; 0.1762; 0.1658; 0.1658; 0.1630,improvements; improvements relating; relating; floor
2026-0096705,METHOD OF DETERMINING A VALUE OF A FILTER LOADING OF A FILTER OF AN AIR-MOVING DEVICE,air-moving; loading; operating parameter; value; operating; parameter; determination process; determining; restriction; condition,0.3556; 0.3128; 0.3040; 0.2717; 0.2479; 0.2246; 0.2157; 0.2092; 0.2029; 0.2029,filter; air-moving; determining
2026-0096711,CLEANER HEAD FOR AN APPLIANCE,tank; liquid; tank assembly; distribution; connected housing; roller; collection; surface cleaned; cleaned; housing,0.3388; 0.3197; 0.3180; 0.2377; 0.2208; 0.2035; 0.1846; 0.1801; 0.1724; 0.1598,cleaner head; head; cleaner; appliance
2026-0090685,POWER CONTROL METHOD FOR A MOTOR OF AN AIR-MOVING DEVICE,air-moving; operating parameter; restriction; operating; parameter; determine value; input power motor; value; input power; power motor,0.3120; 0.3120; 0.2582; 0.2378; 0.2305; 0.2214; 0.2214; 0.2161; 0.2083; 0.2083,air-moving; power; control; motor
2026-0090689,METHOD OF DETERMINING AN AIRFLOW RATE THROUGH A MOTOR ASSEMBLY OF AN AIR-MOVING DEVICE,motor assembly; value; rate; air-moving; measuring; operation; motor; pressure; determining; position,0.4314; 0.3176; 0.2818; 0.2781; 0.2090; 0.2072; 0.1998; 0.1964; 0.1914; 0.1688,air-moving; airflow; motor assembly; determining; motor; assembly
2026-0083226,INDUCTION HEATING,heating target; induction; coil; target; heating; induction heating; heating induction; magnetic field; field; varying,0.3838; 0.3526; 0.2856; 0.2771; 0.2737; 0.2646; 0.2206; 0.1912; 0.1827; 0.1781,heating
2026-0083228,HAIR STYLING APPARATUS,projections; support surface; styling; hair styling; hair; support; fluid; include; fluid outlet; user hair,0.3126; 0.3126; 0.2881; 0.2660; 0.2226; 0.1911; 0.1909; 0.1853; 0.1784; 0.1747,styling; hair styling; hair
