patent_id,title,abstract,text
2026-0137189,ATTACHMENT FOR A HAIRCARE APPLIANCE,"An attachment for a haircare appliance, the attachment including a main body. The main body includes an air inlet, an air outlet, and a hair treatment chamber for receiving hair. The hair treatment chamber is defined by a wall and an opening through which hair is able to be inserted into the hair treatment chamber, and a removable insert attached to the main body. When the insert is attached to the main body, the insert directs airflow in a first direction away from the hair treatment chamber and, when the insert is removed from the main body, airflow emitted from the air outlet is directed in a second direction into the hair treatment chamber.","ATTACHMENT FOR A HAIRCARE APPLIANCE An attachment for a haircare appliance, the attachment including a main body. The main body includes an air inlet, an air outlet, and a hair treatment chamber for receiving hair. The hair treatment chamber is defined by a wall and an opening through which hair is able to be inserted into the hair treatment chamber, and a removable insert attached to the main body. When the insert is attached to the main body, the insert directs airflow in a first direction away from the hair treatment chamber and, when the insert is removed from the main body, airflow emitted from the air outlet is directed in a second direction into the hair treatment chamber."
2026-0137247,AGITATOR ELEMENT FOR A VACUUM CLEANER,An agitator element for a vacuum cleaner is described herein. The agitator element tapers from a first end of the agitator element towards a second end of the agitator element. The second end of the agitator element has a recess which can be used to releasably retain a debris strand ball formed during use of the agitator element in a vacuum cleaner.,AGITATOR ELEMENT FOR A VACUUM CLEANER An agitator element for a vacuum cleaner is described herein. The agitator element tapers from a first end of the agitator element towards a second end of the agitator element. The second end of the agitator element has a recess which can be used to releasably retain a debris strand ball formed during use of the agitator element in a vacuum cleaner.
2026-0123728,HAIRCARE APPLIANCE WITH A VISUAL INDICATOR DEVICE,A haircare appliance including a body and the body having a central bore and an annular outlet that can expel an airflow. The haircare appliance also includes a visual indicator device located within the bore and can also visually indicate information associated with the haircare appliance.,HAIRCARE APPLIANCE WITH A VISUAL INDICATOR DEVICE A haircare appliance including a body and the body having a central bore and an annular outlet that can expel an airflow. The haircare appliance also includes a visual indicator device located within the bore and can also visually indicate information associated with the haircare appliance.
2026-0108123,IMPROVEMENTS RELATING TO FLOOR CLEANERS,"A mop arrangement for a wet floor cleaner that includes a mop roller and a cleaning roller, wherein the cleaning roller is can be aligned adjacent the mop roller to squeeze cleaning fluid from the mop roller in use. The arrangement further includes a drive arrangement that can rotate the mop roller and the cleaning roller. The cleaning roller extends in an axial direction between a first end and a second end, and includes at least one mangle bar that extends along the cleaning roller in a helical path.","IMPROVEMENTS RELATING TO FLOOR CLEANERS A mop arrangement for a wet floor cleaner that includes a mop roller and a cleaning roller, wherein the cleaning roller is can be aligned adjacent the mop roller to squeeze cleaning fluid from the mop roller in use. The arrangement further includes a drive arrangement that can rotate the mop roller and the cleaning roller. The cleaning roller extends in an axial direction between a first end and a second end, and includes at least one mangle bar that extends along the cleaning roller in a helical path."
2026-0096705,METHOD OF DETERMINING A VALUE OF A FILTER LOADING OF A FILTER OF AN AIR-MOVING DEVICE,"A method of determining a value of a filter loading of a filter of an air-moving device comprises performing a measurement process comprising determining a first value of an operating parameter of the air-moving device, the first value being a value of the operating parameter when the air-moving device is operating with a first inlet restriction condition. The method comprises performing a determination process to determine the value of the filter loading of the filter of the air-moving device. The determination process comprises determining, based on the first value of the operating parameter and a first pre-determined relationship relating, for the air-moving device when operating with the first inlet restriction condition, values of the operating parameter to values of the filter loading, the value of the filter loading.","METHOD OF DETERMINING A VALUE OF A FILTER LOADING OF A FILTER OF AN AIR-MOVING DEVICE A method of determining a value of a filter loading of a filter of an air-moving device comprises performing a measurement process comprising determining a first value of an operating parameter of the air-moving device, the first value being a value of the operating parameter when the air-moving device is operating with a first inlet restriction condition. The method comprises performing a determination process to determine the value of the filter loading of the filter of the air-moving device. The determination process comprises determining, based on the first value of the operating parameter and a first pre-determined relationship relating, for the air-moving device when operating with the first inlet restriction condition, values of the operating parameter to values of the filter loading, the value of the filter loading."
2026-0096711,CLEANER HEAD FOR AN APPLIANCE,"A cleaner head for an appliance including a housing, a roller rotatably connected to the housing, and a tank assembly releasably connected to a portion of the housing. The tank assembly includes a liquid distribution tank for storing liquid to be distributed to a surface to be cleaned, and a liquid collection tank for collecting liquid from the surface to be cleaned. The liquid collection tank is fixedly connected to the liquid distribution tank. The tank assembly is movable along a connection axis to disconnect the tank assembly from the portion of the housing, and the connection axis is parallel to an axis of rotation of the roller.","CLEANER HEAD FOR AN APPLIANCE A cleaner head for an appliance including a housing, a roller rotatably connected to the housing, and a tank assembly releasably connected to a portion of the housing. The tank assembly includes a liquid distribution tank for storing liquid to be distributed to a surface to be cleaned, and a liquid collection tank for collecting liquid from the surface to be cleaned. The liquid collection tank is fixedly connected to the liquid distribution tank. The tank assembly is movable along a connection axis to disconnect the tank assembly from the portion of the housing, and the connection axis is parallel to an axis of rotation of the roller."
2026-0090685,POWER CONTROL METHOD FOR A MOTOR OF AN AIR-MOVING DEVICE,"A method to control an input power of a motor of an air-moving device that includes performing a measurement process to determine a first value of an operating parameter of the motor. The operating parameter is an operating pressure of the motor or an airflow rate through the motor. The method includes performing a determination process to determine a value of the inlet restriction of the air-moving device, based on the first value of the operating parameter of the motor and a first pre-determined relationship between values of the operating parameter of the motor and values of an inlet restriction of the air-moving device. The method also includes controlling, based on the determined value of the inlet restriction, the input power of the motor.","POWER CONTROL METHOD FOR A MOTOR OF AN AIR-MOVING DEVICE A method to control an input power of a motor of an air-moving device that includes performing a measurement process to determine a first value of an operating parameter of the motor. The operating parameter is an operating pressure of the motor or an airflow rate through the motor. The method includes performing a determination process to determine a value of the inlet restriction of the air-moving device, based on the first value of the operating parameter of the motor and a first pre-determined relationship between values of the operating parameter of the motor and values of an inlet restriction of the air-moving device. The method also includes controlling, based on the determined value of the inlet restriction, the input power of the motor."
2026-0090689,METHOD OF DETERMINING AN AIRFLOW RATE THROUGH A MOTOR ASSEMBLY OF AN AIR-MOVING DEVICE,"A method of determining a value of an airflow rate through a motor assembly of an air-moving device. The method includes measuring a first value of a first pressure at a first position in the motor assembly during operation. The method also include measuring, a second value of a second pressure at a second position in the motor assembly during operation of the motor of the motor assembly, where the second position is downstream of the first position. The method also includes performing a determination process based on the first value and the second value to determine the value of the airflow rate through the motor assembly.","METHOD OF DETERMINING AN AIRFLOW RATE THROUGH A MOTOR ASSEMBLY OF AN AIR-MOVING DEVICE A method of determining a value of an airflow rate through a motor assembly of an air-moving device. The method includes measuring a first value of a first pressure at a first position in the motor assembly during operation. The method also include measuring, a second value of a second pressure at a second position in the motor assembly during operation of the motor of the motor assembly, where the second position is downstream of the first position. The method also includes performing a determination process based on the first value and the second value to determine the value of the airflow rate through the motor assembly."
2026-0083226,INDUCTION HEATING,"An induction heating system is provided. The induction heating system includes an induction coil configured to generate a magnetic field and a heating target spaced apart from the induction coil. The heating target is moveable to create a varying distance between the induction coil and the heating target along a length of the heating target to generate a varying amount of heating of the heating target, along the length of the heating target, by penetration of the heating target by the magnetic field generated by the induction coil.","INDUCTION HEATING An induction heating system is provided. The induction heating system includes an induction coil configured to generate a magnetic field and a heating target spaced apart from the induction coil. The heating target is moveable to create a varying distance between the induction coil and the heating target along a length of the heating target to generate a varying amount of heating of the heating target, along the length of the heating target, by penetration of the heating target by the magnetic field generated by the induction coil."
2026-0083228,HAIR STYLING APPARATUS,"A hair styling apparatus is provided and can include a support surface, a fluid outlet for discharging fluid across the support surface, and a plurality of spaced hair styling projections. The plurality of spaced hair styling projections project from the support surface for styling a user's hair. The apparatus can also include a plurality of fluid flow channels. Each channel extends through a respective projection of the plurality of projections for passage of fluid discharged from the fluid outlet.","HAIR STYLING APPARATUS A hair styling apparatus is provided and can include a support surface, a fluid outlet for discharging fluid across the support surface, and a plurality of spaced hair styling projections. The plurality of spaced hair styling projections project from the support surface for styling a user's hair. The apparatus can also include a plurality of fluid flow channels. Each channel extends through a respective projection of the plurality of projections for passage of fluid discharged from the fluid outlet."
