cluster_id,patent_count,top_tfidf_terms,top_title_terms,representative_titles,example_abstracts
0,107,electrode | material | substrate | electrolyte | layer | cell | cathode | plasma | deposition | battery | composition | electrochemical | energy storage | energy | target,energy | energy storage | storage | deposition | composition | cathode | sputter deposition | sputter | cell | material,ENERGY STORAGE DEVICE | STACK FOR AN ENERGY STORAGE DEVICE | METHOD OF MAKING A COMPONENT FOR A SOLID-STATE ELECTROCHEMICAL CELL | STACK FOR AN ENERGY STORAGE DEVICE | ENERGY STORAGE DEVICE,"A method including providing, on a substrate, first and second stacks for an energy storage device with a groove therebetween is provided. The first and second stacks each, respectively, include a first electrode layer on the substrate, an ... | A method comprises obtaining a stack for an energy storage device, the stack comprising a first electrode layer and an electrolyte layer. The method comprises depositing a first material over an exposed portion of the first electrode layer ... | Methods of making components for solid-state electrochemical cells are disclosed. In examples, the component comprises an electrode layer and an electrolyte layer, and the method: providing a substrate; depositing an electrolyte material on... | A method comprises obtaining a stack for an energy storage device, the stack comprising a first electrode layer, a second electrode layer, and an electrolyte layer between the first electrode layer and the second electrode layer. The method... | A method comprising providing a first electrode layer on a first portion of a substrate, providing an electrolyte layer on the first electrode layer, and providing a second electrode layer on the electrolyte layer. At least part of a curren..."
1,115,hair | haircare | haircare appliance | styling | airflow | hair styling | attachment | appliance | air outlet | styling appliance | hair styling appliance | air inlet | air | outlet | receiving airflow,haircare | haircare appliance | appliance | hair | styling | hair styling | styling appliance | attachment | diffuser | attachment handheld,HAIRCARE APPLIANCE | HAIRCARE APPLIANCE | HAIRCARE APPLIANCE | HAIRCARE APPLIANCE | HAIRCARE APPLIANCE,"A haircare appliance having an air inlet, an air outlet, and an airflow generator for generating an airflow from the air inlet to the air outlet and an attachment for a haircare appliance, the attachment including an air inlet, an air outle... | A haircare appliance having an air inlet, an air outlet, and an airflow generator for generating an airflow from the air inlet to the air outlet and an attachment for a haircare appliance, the attachment including an air inlet, an air outle... | A haircare appliance having an air inlet, an air outlet, and an airflow generator for generating an airflow from the air inlet to the air outlet and an attachment for a haircare appliance, the attachment including an air inlet, an air outle... | An attachment for a haircare appliance, the attachment including an air inlet, an air outlet. The attachment has a curved surface adjacent to and downstream of the air outlet. A radius of curvature of the curved is at least 16 mm. A haircar... | An attachment for a haircare appliance, the attachment including an air inlet, an air outlet for emitting the airflow. The attachment has a curved surface adjacent to and downstream of the air outlet, and a flat surface adjacent to and exte..."
2,92,fluid | fluid flow | flow path | fluid inlet | hand held appliance | held appliance | fluid flow path | hand held | held | path | wall | hand | flow | fluid outlet | appliance,held appliance | held | hand held | hand | appliance | attachment hand | cleaning appliance | cleaning | attachment | heater assembly,HAND HELD APPLIANCE | HAND HELD APPLIANCE | HAND HELD APPLIANCE | HAND HELD APPLIANCE | HAND HELD APPLIANCE,"A hand held appliance, such as a hairdryer, includes a body, a duct, a fluid flow path extending through the duct from a first fluid inlet of the appliance to a first fluid outlet of the appliance. A primary fluid flow path extends from a s... | A hand held appliance, such as a hairdryer, includes a body, a duct, a fluid flow path extending through the duct from a first fluid inlet of the appliance to a first fluid outlet of the appliance. A primary fluid flow path extends from a s... | A hand held appliance, such as a hairdryer, includes a body having a fluid inlet for admitting fluid into the appliance, a fluid outlet, a duct lined with a material, and a primary fluid flow path extending from the fluid inlet to the fluid... | A hand held appliance, such as a hairdryer, includes a body, a fluid flow path extending through the body from a fluid inlet through which a fluid flow enters the appliance to a fluid outlet for emitting the fluid flow from the appliance, a... | A hand held appliance, such as a hairdryer, includes a body, a fluid flow path extending through the body in an axial direction from a first fluid inlet through which a first fluid flow enters the appliance to a first fluid outlet for emitt..."
3,91,robot | mobile | vacuum motor | sensor | mobile robot | data | oral | controller | module | vacuum | vacuum cleaner | determine | signals | based | light,robot | vacuum | vacuum cleaner | cleaner | hairstyling | mobile | mobile robot | oral | oral treatment | robotic,VACUUM CLEANER | VACUUM CLEANER | VACUUM CLEANER | VACUUM CLEANER | VACUUM CLEANER,"A vacuum cleaner includes: a vacuum motor; a first sensor configured to generate first sensor signals based on sensed motion and orientation of the vacuum cleaner; a cleaner head comprising an agitator; one or more diagnostic sensors config... | A vacuum cleaner includes: a vacuum motor; one or more sensors configured to generate sensor signals associated with the vacuum cleaner; and a controller configured to: process the generated sensor signals using a surface type model definin... | A vacuum cleaner includes: a sensor configured to generate sensor signals based on sensed motion and orientation of the vacuum cleaner; a vacuum motor; and a controller configured to: process the generated sensor signals to determine a type... | A vacuum cleaner includes: a sensor configured to generate sensor signals based on sensed motion and orientation of the vacuum cleaner; a vacuum motor; and a controller configured to: process the generated sensor signals to determine a type... | A vacuum cleaner includes: a plurality of sensors configured to generate sensor signals; a vacuum motor; and a controller comprising first and second modules, wherein: the first module is configured to process the generated sensor signals t..."
4,125,cleaner head | cleaner | head | agitator | vacuum | head vacuum | vacuum cleaner | cleaner head vacuum | head vacuum cleaner | suction | housing | brush | brush bar | chamber | bar,cleaner | head | cleaner head | vacuum | vacuum cleaner | head vacuum | separator vacuum | dirt separator | dirt | vacuum cleaning,CLEANER HEAD FOR A VACUUM CLEANER | CLEANER HEAD FOR A VACUUM CLEANER | CLEANER HEAD FOR A VACUUM CLEANER | CLEANER HEAD FOR A VACUUM CLEANER | CLEANER HEAD FOR A VACUUM CLEANER,"A cleaner head for a vacuum cleaner includes a body that defines a suction chamber, the suction chamber having a suction inlet for engaging a surface to be cleaned, and an outlet for fluid connection to a suction generator of a vacuum clean... | A cleaner head for a vacuum cleaner includes a laser diode for illuminating debris located upon a region of a work surface located in front of the cleaner head with green light. | A cleaner head for a vacuum cleaner. The cleaner head has a housing defining a suction chamber comprising an outlet. The housing has a first side on which a first agitator element is mounted for rotation, and a second side on which a second... | A cleaner head for a vacuum cleaner has a housing, an agitator mounted within the housing, and a drive mechanism for driving the agitator about a first axis A. The drive mechanism is mounted to the housing for rotation about a second axis R... | A cleaner head for a vacuum cleaner includes a single agitator rotatably mounted within a housing, the agitator being arranged transversely within the housing such that it is perpendicular to the direction of travel of the cleaner head duri..."
5,166,main | main body | surface treating | treating | body | treating appliance | surface treating appliance | surface | position | hose | appliance | support assembly | surface treating head | treating head | wand,surface treating | treating | surface | treating appliance | appliance | treating head | wand | robotic | domestic appliance | wand assembly,Surface treating appliance | SURFACE TREATING APPLIANCE | SURFACE TREATING APPLIANCE | SURFACE TREATING APPLIANCE | Surface treating appliance,"A surface treating appliance, such as a vacuum cleaner, includes a handle, a surface treating head and a support assembly. The support assembly is rollably mounted to the main body for allowing the main body to be rolled along a surface. A ... | A surface treating appliance, such as a vacuum cleaner, includes a device generating a flow of fluid in the form of a motor and fan, housed in a main body. A hose and wand assembly, a surface treating head and a rotary change over valve are... | A surface treating appliance, such as a vacuum cleaner, includes a device generating a flow of fluid in the form of a motor and fan, housed in a main body. A hose and wand assembly, a surface treating head and a rotary change over valve are... | An upright surface treating appliance includes a main body having a user operable handle, and a support assembly for allowing the appliance to be rolled along a surface using the handle. The support assembly includes a pair of dome-shaped w... | A surface treating appliance, such as a vacuum cleaner, includes a main body, a surface treating head and a support assembly. The support assembly is rollably mounted to the main body for allowing the main body to be rolled along a surface...."
6,130,separating | cyclonic | cyclonic separating | dirt | cyclone | separator | dust | separating unit | separation | cyclonic separator | chamber | cyclones | stage | cyclonic separating unit | vacuum cleaner,separating | cyclonic | vacuum cleaner | vacuum | cyclonic separating | cleaner | separator | cleaning | cleaning appliance | dirt,MULTISTAGE CYCLONIC SEPARATING APPARATUS | HANDHELD CLEANING APPLIANCE | HANDHELD CLEANING APPLIANCE | Cyclonic Separating Apparatus | Dirt and Dust Cyclonic Separating Apparatus,"A cyclonic separating apparatus includes a first cyclonic separating unit including at least one first cyclone and an annular dust collecting chamber, a second cyclonic separating unit located downstream of the first cyclonic separating uni... | A handheld cleaning appliance includes a dirty air inlet, a clean air outlet and separating apparatus for separating dirt and dust from an airflow in an airflow path leading from the air inlet to the air outlet. The separating apparatus inc... | A handheld cleaning appliance includes a dirty air inlet, a clean air outlet and separating apparatus for separating dirt and dust from an airflow in an airflow path leading from the air inlet to the air outlet. The separating apparatus inc... | A cyclonic separating apparatus includes a first cyclonic separating unit including at least one first cyclone, a second cyclonic separating unit located downstream of the first cyclonic separating unit and including at least one second cyc... | A cyclonic separating apparatus includes a first cyclonic separating unit including at least one first cyclone, a second cyclonic separating unit located downstream of the first cyclonic separating unit and including at least one second clo..."
7,98,air flow | air | fan | fan assembly | flow | nozzle | interior passage | air outlet | passage | interior | emitted | mouth | assembly | impeller | receiving air,fan | fan assembly | assembly | humidifying | nozzle fan | nozzle,FAN ASSEMBLY | FAN ASSEMBLY | FAN ASSEMBLY | FAN ASSEMBLY | FAN ASSEMBLY,"A fan assembly for creating an air current includes an air inlet, an air outlet, an impeller and a motor for rotating the impeller to create an air flow passing from the air inlet to the air outlet. The air outlet includes an interior passa... | A bladeless fan assembly for creating an air current includes a nozzle mounted on a base. The nozzle comprises an interior passage and a mouth for receiving the air flow from the interior passage and through which the air flow is emitted fr... | A bladeless fan assembly for creating an air current includes a nozzle mounted on a base. The nozzle comprises an interior passage and a mouth for receiving the air flow from the interior passage and through which the air flow is emitted fr... | A fan assembly for creating an air current includes a base having an air inlet and an air outlet, the base housing an impeller and a motor for rotating the impeller to create an air flow passing from the air inlet to the air outlet. The fan... | A fan assembly for creating an air current includes a base having an air inlet and an air outlet, the base housing an impeller and a motor for rotating the impeller to create an air flow passing from the air inlet to the air outlet. The fan..."
8,89,winding | voltage | motor | brushless | control | controlling | phase | signal | brushless motor | electric | electric machine | phase winding | machine | current | period,motor | brushless | control | brushless motor | electric | control brushless | permanent-magnet | permanent-magnet motor | control electric | electric machine,CONTROL OF A BRUSHLESS MOTOR | CONTROL OF A BRUSHLESS MOTOR | CONTROL OF A BRUSHLESS MOTOR | CONTROL OF A BRUSHLESS MOTOR | CONTROL OF A BRUSHLESS PERMANENT-MAGNET MOTOR,"A method of controlling a brushless motor that includes exciting a winding of the motor with a voltage, and freewheeling the winding when current in the winding exceeds a threshold or after the winding has been excited for a timeout period.... | A method of controlling a brushless motor that includes exciting a winding of the motor until current in the winding exceeds a threshold, and then continuing to excite the winding for an overrun period. The length of the overrun period is a... | A method of controlling a brushless motor that includes rectifying an alternating voltage to provide a rectified voltage having a ripple of at least 50%, exciting a winding of the motor with the rectified voltage, and performing a first pro... | A method of controlling a brushless motor that includes rectifying an alternating voltage to provide a rectified voltage, exciting a winding of the motor with the rectified voltage and freewheeling the winding when current in the winding ex... | A method of controlling a brushless permanent-magnet motor that includes rectifying an alternating voltage to provide a rectified voltage having a ripple of at least 50%, and exciting a winding of the motor with the rectified voltage. The w..."
9,58,rotor | stator | rotor assembly | bearing | assembly | core | stator assembly | shaft | frame | adhesive | bearing assembly | stator core | assembly rotor | magnet | impeller,rotor | motor | compressor | electric | rotor assembly | electric motor | machine | brushless motor | turbomachine | stator,BRUSHLESS MOTOR | BRUSHLESS MOTOR | BRUSHLESS MOTOR | COMPRESSOR | BRUSHLESS MOTOR AND STATOR THEREFOR,"A brushless motor having a stator assembly, a rotor assembly rotatable relative to the stator assembly, and a frame within which the stator assembly and the rotor assembly are housed. The rotor assembly includes a shaft, first and second be... | A brushless motor comprising a rotor assembly comprising a shaft, an impeller, a bearing assembly and a rotor core; a stator assembly; a frame comprising an outer portion and a support portion radially inward of the outer portion, the suppo... | A brushless motor has a rotor assembly including a shaft, an impeller, a bearing assembly and a rotor core. The brushless motor has a stator assembly and a frame having an outer portion and an inner portion radially inward of the outer port... | A compressor that includes a rotor assembly, a stator assembly and a heat sink assembly. The rotor assembly includes a shaft to which a bearing assembly and a rotor core are secured. The heat sink assembly is then secured to the bearing ass... | A brushless motor comprising a frame; a rotor assembly comprising a shaft, a rotor core and a bearing assembly, the bearing assembly being mounted to the frame; and at least one stator comprising a C-shaped stator core, the stator core comp..."
