sub_cluster_id,sub_cluster_label,physical_element,evidence,confidence
10.0,Fluid-based dental cleaning appliance (oral irrigator),handle,A dental cleaning appliance includes a handle,high
10.0,Fluid-based dental cleaning appliance (oral irrigator),fluid reservoir,a fluid reservoir for storing a working fluid,high
10.0,Fluid-based dental cleaning appliance (oral irrigator),fluid delivery system,a fluid delivery system for receiving working fluid from the fluid reservoir,high
10.0,Fluid-based dental cleaning appliance (oral irrigator),nozzle,delivering working fluid from a nozzle to the oral cavity,high
10.0,Fluid-based dental cleaning appliance (oral irrigator),control circuit,a control circuit for actuating the delivery of working fluid,high
10.0,Fluid-based dental cleaning appliance (oral irrigator),working fluid,storing a working fluid,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,main body,the floor tool comprising a main body including a suction nozzle,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,support member,a support member adapted to support a cleaning element,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,cleaning element,support a cleaning element,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,suction nozzle,at least one suction nozzle in communication with a conduit,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,suction chamber,outer periphery of a suction chamber,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,surface engaging skirt,a surface engaging skirt that depends downwardly,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,conduit,in communication with a conduit that is attachable to a vacuum cleaning appliance,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,neck,wherein a neck...,medium
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,plug elements,the conduit includes one or more plug elements,high
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,wand,top_tfidf_terms includes 'wand',medium
10.1,Floor tool / suction nozzle head for vacuum cleaning appliances,edge of the supporting member,a suction nozzle adjacent an edge of the supporting member,high
11.0,Air-knife hand dryers,casing,A drying apparatus has a casing.,high
11.0,Air-knife hand dryers,cavity,a cavity formed in the casing for receiving an object.,high
11.0,Air-knife hand dryers,motor-driven fan unit,The airflow is generated by a motor-driven fan unit.,high
11.0,Air-knife hand dryers,motor,a motor arranged to drive the fan.,high
11.0,Air-knife hand dryers,fan,a fan located in the casing and creating an airflow.,high
11.0,Air-knife hand dryers,air outlet,airflow discharged through an air outlet on the hand dryer.,high
11.0,Air-knife hand dryers,slot-like opening,at least one slot-like opening communicating with the fan and arranged in the casing.,high
11.0,Air-knife hand dryers,air-knife,uses an air-knife mechanically to wipe the water from the user's hands; two elongate air-knife di...,high
11.0,Air-knife hand dryers,air intakes,The hand dryer comprises a plurality of air inta[kes].,medium
11.0,Air-knife hand dryers,springs,motor-driven fan unit which is spring-mounted on a fixed part of the hand dryer.,medium
11.0,Air-knife hand dryers,sink,An arrangement incorporates a sink and a hand dryer which extends over the sink.,high
11.1,Humidifying air treatment apparatus with integrated water supply,air flow generator,an air flow generator arranged to generate an air flow,high
11.1,Humidifying air treatment apparatus with integrated water supply,moisture source,a moisture source arranged to introduce water vapour into the air flow,high
11.1,Humidifying air treatment apparatus with integrated water supply,body,a body that in use surrounds both air flow generator and the moisture source,high
11.1,Humidifying air treatment apparatus with integrated water supply,water tank,"tfidf terms: 'tank', 'water tank'",high
11.1,Humidifying air treatment apparatus with integrated water supply,water supply system,a water supply system,high
11.1,Humidifying air treatment apparatus with integrated water supply,chamber,tfidf term: 'chamber',medium
11.1,Humidifying air treatment apparatus with integrated water supply,base,"tfidf terms: 'base', 'base body'",medium
11.1,Humidifying air treatment apparatus with integrated water supply,stand,tfidf term: 'stand',low
11.1,Humidifying air treatment apparatus with integrated water supply,light source,"tfidf terms: 'source', 'light'",low
11.2,Head-Wearable Air Purifier with Integrated Audio,filter assembly,the first speaker assembly comprises a filter assembly,high
11.2,Head-Wearable Air Purifier with Integrated Audio,filter,an airflow generator for creating an airflow through the filter,high
11.2,Head-Wearable Air Purifier with Integrated Audio,impeller,an impeller for creating an airflow through the filter assembly,high
11.2,Head-Wearable Air Purifier with Integrated Audio,motor-driven impeller,a motor-driven impeller for creating an airflow,high
11.2,Head-Wearable Air Purifier with Integrated Audio,airflow generator,an airflow generator for creating an airflow through the filter,high
11.2,Head-Wearable Air Purifier with Integrated Audio,first speaker assembly,a first speaker assembly arranged to be worn over a first ear of a user,high
11.2,Head-Wearable Air Purifier with Integrated Audio,second speaker assembly,a first speaker assembly and a second speaker assembly,high
11.2,Head-Wearable Air Purifier with Integrated Audio,headgear,A wearable air purifier includes a headgear,high
11.2,Head-Wearable Air Purifier with Integrated Audio,nozzle assembly,The nozzle assembly includes a conduit,high
11.2,Head-Wearable Air Purifier with Integrated Audio,conduit,The nozzle assembly includes a conduit,medium
11.2,Head-Wearable Air Purifier with Integrated Audio,housing,top_tfidf_terms include 'housing',low
11.2,Head-Wearable Air Purifier with Integrated Audio,mask,top_tfidf_terms include 'mask',low
